Timestamp,SourceExecutionId,ClusteringId,K,Kappa,DistanceMetric,SilhouetteIndex
Tue Nov 30 08:28:26 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,84cc75af-a54f-4621-a46c-7f34db7f1abe,2,10,net.sf.javaml.distance.CosineDistance,0.41127529081775
Tue Nov 30 08:28:45 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,c7ce3d40-c1c7-40d8-b85c-30e56df11901,3,1,net.sf.javaml.distance.CosineDistance,0.408679674323435
Tue Nov 30 08:28:40 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,07db1e80-7ac0-429e-bc52-21ace7dd97a6,14,1,net.sf.javaml.distance.CosineDistance,0.402460819589715
Tue Nov 30 08:28:22 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,f9450752-a3e2-488a-8944-a4ff625a0e54,10,10,net.sf.javaml.distance.CosineDistance,0.402429089935227
Tue Nov 30 08:29:05 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,fd18e230-cc05-4371-8d75-a02e839bfd0d,15,20,net.sf.javaml.distance.CosineDistance,0.401861042633414
Tue Nov 30 08:28:41 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,d37817e5-7294-4fc4-9e23-963bd9a1086d,13,1,net.sf.javaml.distance.CosineDistance,0.400667722731071
Tue Nov 30 08:29:11 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,0c2bd56f-7f28-4660-ae8b-56679954a1d4,2,20,net.sf.javaml.distance.CosineDistance,0.399000951457986
Mon Nov 29 12:52:08 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,95561858-4a0e-49e7-9986-66ca5d46ea61,3,10,net.sf.javaml.distance.CosineDistance,0.398479470696336
Tue Nov 30 08:27:58 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,bd8a7b51-0e00-4c94-bafd-d05426002c69,13,5,net.sf.javaml.distance.CosineDistance,0.39226895297677
Tue Nov 30 08:28:00 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,d54cc20b-77af-4c14-b1b1-1c3e6198a9bf,9,5,net.sf.javaml.distance.CosineDistance,0.388369444295173
Tue Nov 30 08:28:23 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,2abf5cd8-57a1-4b12-8ec3-833fac84e5d5,8,10,net.sf.javaml.distance.CosineDistance,0.387572369993795
Tue Nov 30 08:28:38 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,640d8c15-c2d5-4b85-b0d9-df04aa8264b5,19,1,net.sf.javaml.distance.CosineDistance,0.387357540974094
Mon Nov 29 10:45:22 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,f4fd7e2f-156e-4a3e-b0e8-05b60dd24ac9,2,1,net.sf.javaml.distance.CosineDistance,0.385552287373006
Tue Nov 30 08:28:42 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,a58f9ffc-727f-4492-85db-35f25dbf5f26,11,1,net.sf.javaml.distance.CosineDistance,0.38541270199702
Tue Nov 30 08:28:40 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,b6c51759-d1e7-404f-a086-62495ed91d68,16,1,net.sf.javaml.distance.CosineDistance,0.382875111051624
Tue Nov 30 08:28:40 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,db2b76f5-2e32-4caf-8e4f-277dbf8741e3,15,1,net.sf.javaml.distance.CosineDistance,0.38248988763575
Tue Nov 30 08:28:41 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,324d46af-7ac8-4437-be68-2e177be36357,12,1,net.sf.javaml.distance.CosineDistance,0.377641998683217
Tue Nov 30 08:28:03 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,b1aa5935-8c82-40ea-9d17-786713c0baba,2,5,net.sf.javaml.distance.CosineDistance,0.376026163429429
